dataset,task,test_metric_name,test_metric_value
adult,clf,accuracy,0.8434844917596479
20ng_bin,clf,accuracy,0.8735632183908046
adult,clf,accuracy,0.8434844917596479
20ng_bin,clf,accuracy,0.8735632183908046
har6,clf,accuracy,0.9927184466019418
digits8x8,clf,accuracy,0.9611111111111111
california,reg,r2,0.8369070693815255
diabetes,reg,r2,0.13671404461276837
iris,clf,accuracy,0.9333333333333333
wine,clf,accuracy,0.9722222222222222
synthetic_clf,clf,accuracy,0.94
synthetic_reg,reg,r2,0.8741807275111027
ecg_heartbeat,clf,accuracy,0.766
fashion_mnist_features,clf,accuracy,0.267
stock_technical,clf,accuracy,0.50125
sensor_fusion,clf,accuracy,0.9383333333333334
gene_expression,clf,accuracy,0.48125
network_topology,clf,accuracy,0.8133333333333334
audio_mfcc,clf,accuracy,0.46285714285714286
weather_station,reg,r2,0.976977636590443
eeg_signals,clf,accuracy,0.975
satellite_ndvi,reg,r2,0.9935797052747739
industrial_process,reg,r2,0.9513575599483421
social_network,clf,accuracy,0.96
breast_cancer,clf,accuracy,0.956140350877193
retail_demand,reg,r2,0.8205032502036236
traffic_flow,reg,r2,0.9644495376192674
energy_consumption,reg,r2,0.7553309771078217
