dataset,fraction_rows,wall_time_sec,cir_agreement,proj_residual,sym_kl,jaccard_at_8
adult,0.2,0.07631587982177734,6.91505295940773e-05,0.19438378299077308,0.0010540512662460476,0.9999999999998334
adult,0.3,0.129563570022583,4.04345559410818e-05,0.17616437041340005,0.0031630698705665604,0.9999999999998334
adult,0.4,0.1458301544189453,0.00033735515835872475,0.15594569086571125,0.0017577162561402434,0.9999999999998334
adult,0.6,0.2057206630706787,0.00015594737253407193,0.12443176458551893,0.0012061306968447058,0.9999999999998334
adult,0.8,0.3750650882720947,0.000182464343831469,0.10302576473448398,0.000855410508421868,0.9999999999998334
adult,1.0,0.35581111907958984,9.361789914379746e-05,0.07321840216699634,0.0006300387733901469,0.9999999999998334
20ng_bin,0.2,1.0511796474456787,0.0002793089041527349,0.3684619152312604,0.04339367525897107,0.23076923076921302
20ng_bin,0.3,0.8110709190368652,0.0010208525189405416,0.2902222450230753,0.03143530157081774,0.14285714285713266
20ng_bin,0.4,0.8645815849304199,8.193817450894035e-05,0.24051494483545155,0.018825589585843527,0.45454545454541323
20ng_bin,0.6,1.1416239738464355,0.0004140357784731889,0.1957126175800666,0.011473778074348434,0.45454545454541323
20ng_bin,0.8,1.4188520908355713,4.841063551108073e-05,0.14619042286322265,0.006020352172239226,0.59999999999994
20ng_bin,1.0,1.7012889385223389,7.040126438752195e-06,0.06295011316456739,0.005337843378187792,0.59999999999994
adult,0.2,0.0789186954498291,6.91505295940773e-05,0.19438378299077308,0.0010540512662460476,0.9999999999998334
adult,0.3,0.1008598804473877,4.04345559410818e-05,0.17616437041340005,0.0031630698705665604,0.9999999999998334
adult,0.4,0.12342000007629395,0.00033735515835872475,0.15594569086571125,0.0017577162561402434,0.9999999999998334
adult,0.6,0.18076014518737793,0.00015594737253407193,0.12443176458551893,0.0012061306968447058,0.9999999999998334
adult,0.8,0.2877926826477051,0.000182464343831469,0.10302576473448398,0.000855410508421868,0.9999999999998334
adult,1.0,0.3811788558959961,9.361789914379746e-05,0.07321840216699634,0.0006300387733901469,0.9999999999998334
20ng_bin,0.2,0.6138989925384521,0.0002793089041527349,0.3684619152312604,0.04339367525897107,0.23076923076921302
20ng_bin,0.3,0.7258021831512451,0.0010208525189405416,0.2902222450230753,0.03143530157081774,0.14285714285713266
20ng_bin,0.4,0.9105291366577148,8.193817450894035e-05,0.24051494483545155,0.018825589585843527,0.45454545454541323
