dataset,method,k,metric_name,metric_value
adult,ExCIR,3,accuracy,0.8363189681646023
adult,ExCIR,5,accuracy,0.8440986794963661
adult,ExCIR,8,accuracy,0.8443034087419388
adult,ExCIR,12,accuracy,0.8443034087419388
adult,TreeGain,3,accuracy,0.8252635889036749
adult,TreeGain,5,accuracy,0.8440986794963661
adult,TreeGain,8,accuracy,0.8443034087419388
adult,TreeGain,12,accuracy,0.8443034087419388
adult,PDP-var,3,accuracy,0.8252635889036749
adult,PDP-var,5,accuracy,0.8309960077797113
adult,PDP-var,8,accuracy,0.8443034087419388
adult,PDP-var,12,accuracy,0.8443034087419388
adult,MI(pred),3,accuracy,0.8006960794349472
adult,MI(pred),5,accuracy,0.8440986794963661
adult,MI(pred),8,accuracy,0.8443034087419388
adult,MI(pred),12,accuracy,0.8443034087419388
adult,MI(label),3,accuracy,0.8252635889036749
adult,MI(label),5,accuracy,0.8440986794963661
adult,MI(label),8,accuracy,0.8443034087419388
adult,MI(label),12,accuracy,0.8443034087419388
adult,Surrogate-LR,3,accuracy,0.8252635889036749
adult,Surrogate-LR,5,accuracy,0.8440986794963661
adult,Surrogate-LR,8,accuracy,0.8443034087419388
adult,Surrogate-LR,12,accuracy,0.8443034087419388
20ng_bin,ExCIR,3,accuracy,0.6194125159642401
20ng_bin,ExCIR,5,accuracy,0.6538952745849298
20ng_bin,ExCIR,8,accuracy,0.6564495530012772
20ng_bin,ExCIR,12,accuracy,0.6922094508301405
20ng_bin,TreeGain,3,accuracy,0.6283524904214559
20ng_bin,TreeGain,5,accuracy,0.7292464878671775
20ng_bin,TreeGain,8,accuracy,0.735632183908046
20ng_bin,TreeGain,12,accuracy,0.7151979565772669
20ng_bin,PDP-var,3,accuracy,0.6296296296296297
20ng_bin,PDP-var,5,accuracy,0.6871008939974457
20ng_bin,PDP-var,8,accuracy,0.698595146871009
20ng_bin,PDP-var,12,accuracy,0.756066411238825
20ng_bin,MI(pred),3,accuracy,0.6130268199233716
20ng_bin,MI(pred),5,accuracy,0.6219667943805874
20ng_bin,MI(pred),8,accuracy,0.6283524904214559
20ng_bin,MI(pred),12,accuracy,0.6372924648786717
20ng_bin,MI(label),3,accuracy,0.51213282247765
20ng_bin,MI(label),5,accuracy,0.5019157088122606
20ng_bin,MI(label),8,accuracy,0.6398467432950191
20ng_bin,MI(label),12,accuracy,0.6296296296296297
20ng_bin,Surrogate-LR,3,accuracy,0.632183908045977
20ng_bin,Surrogate-LR,5,accuracy,0.6730523627075351
